fp,tp,auc_roc
0.0,0.0022988505747126436,0.751791069750679
0.0,0.004597701149425287,0.751791069750679
0.0,0.006896551724137931,0.751791069750679
0.0011198208286674132,0.006896551724137931,0.751791069750679
0.0011198208286674132,0.009195402298850575,0.751791069750679
0.0022396416573348264,0.009195402298850575,0.751791069750679
0.0033594624860022394,0.009195402298850575,0.751791069750679
0.004479283314669653,0.009195402298850575,0.751791069750679
0.004479283314669653,0.011494252873563218,0.751791069750679
0.005599104143337066,0.011494252873563218,0.751791069750679
0.005599104143337066,0.013793103448275862,0.751791069750679
0.005599104143337066,0.016091954022988506,0.751791069750679
0.006718924972004479,0.016091954022988506,0.751791069750679
0.006718924972004479,0.01839080459770115,0.751791069750679
0.006718924972004479,0.020689655172413793,0.751791069750679
0.007838745800671893,0.020689655172413793,0.751791069750679
0.008958566629339306,0.020689655172413793,0.751791069750679
0.008958566629339306,0.022988505747126436,0.751791069750679
0.010078387458006719,0.022988505747126436,0.751791069750679
0.010078387458006719,0.02528735632183908,0.751791069750679
0.010078387458006719,0.027586206896551724,0.751791069750679
0.010078387458006719,0.029885057471264367,0.751791069750679
0.010078387458006719,0.03218390804597701,0.751791069750679
0.010078387458006719,0.034482758620689655,0.751791069750679
0.010078387458006719,0.0367816091954023,0.751791069750679
0.010078387458006719,0.03908045977011494,0.751791069750679
0.010078387458006719,0.041379310344827586,0.751791069750679
0.010078387458006719,0.04367816091954023,0.751791069750679
0.010078387458006719,0.04597701149425287,0.751791069750679
0.010078387458006719,0.04827586206896552,0.751791069750679
0.010078387458006719,0.05057471264367816,0.751791069750679
0.010078387458006719,0.052873563218390804,0.751791069750679
0.011198208286674132,0.052873563218390804,0.751791069750679
0.011198208286674132,0.05517241379310345,0.751791069750679
0.011198208286674132,0.05747126436781609,0.751791069750679
0.011198208286674132,0.059770114942528735,0.751791069750679
0.011198208286674132,0.06206896551724138,0.751791069750679
0.011198208286674132,0.06436781609195402,0.751791069750679
0.011198208286674132,0.06666666666666667,0.751791069750679
